,company_comment,stars,time,title,user_review
0,"Hi Jungle, thanks for sharing your valuable feedback. I am glad to know that you enjoy your holiday. Have a nice day! Thanks,^SS.",4,2017-07-18T11:02:39.000+00:00,"
Review Expedia - Positive
",Travelled to USA with my family .Got the best deal for a hotel with Expedia which even the hotel could not match. Have used them in the past while travelling solo.Flights I booked via Appleflights.co.ukI rang the hotel to re confirm my bookings & they had it confirmed .I am back from my travel & everything went smooth .Will continue using Expedia & recommend others too !Thanks
1,"Hi there, It is not good to know that you've been put on hold numerous times and deeply regret the inconvenience caused due to the pending refund. Knowing that you feel upset and stressed is the last thing we you to experience. If you don't mind, please share the itinerary number so that we can assist you in sorting out your concern. Kindly do not share your email address or contact number as this is a public forum. Thanks,^SS.",1,2017-07-17T13:44:03.000+00:00,"
Refund nightmare
","Wanted to book a multi-trip flight however the flights were continuously being changed so I had no choice but to cancel. Refund was confirmed immediately and I was informed it may be 7 - 10 days. 18 days later there was still no sign of a refund so I had to call a number that charged to further querie the situation. I was put on hold numerous times and was eventually told that they ""had a technical error"" which meant my refund request was never processed and am now having to wait a further ""5 - 7 days""Absolutely aweful experience - would never recommend nor use again."
2,"Hi Jeanette, thanks for sharing your case ID and itinerary number. Please kindly give us some time to look into this and we will reach out to you soon with an update. Thanks,^SS.",1,2017-07-17T12:23:35.000+00:00,"
I used to enjoy Expedia holidays but a recent experience has changed that
","I have always enjoyed Expedia holidays and found them stress-free - however I've just had cause to contact customers services and my view has changed.  I received very pleasant acknowledgments of the emails I sent, promising action, but there's been absolutely no follow-up .  It's a relatively minor thing of a shuttle bus not turning up transport us from hotel to airport - ultimately not their fault - but what they are avoiding is taking any responsibility.  Incorrect approach as they collected the money from us and are the agents. I am so disappointed, as I now wonder what would happen if there were bigger problems...Here is my case number 17236485.  Itinerary Number was 7245908583508.Dear 'SS'You said your customer service team would research and get back to me on the subject of a missing refund.  Here is the response I received:Dear Jeanette,Thanks for contacting Expedia UK on Trustpilot regarding your complaint about transfers in Lisbon. We're sorry to know that your experience with the transfer service provider did not live up to your expectations.This is not the type of service we expect from our suppliers and we further apologise for the delay in response to your emails. Rest assured, we take your feedback seriously and shall be worked upon for improvement of services. We tried calling you at 07505623#etc to discuss this matter with you but the calls went unanswered. Kindly let us know your preferred time we can reach you at. Kind Regards,Ravi,Customer Escalations AgentExpedia Social Media TeamHere's my version of events:There was ONE missed call on my phone whilst I was working and no message was left. I didn't return the call because it was an unknown overseas number. If the phone is engaged I would expect someone to try a second time. And cust service have gone and assigned a new case number to this...losing all the history from the original case (I still have the emails) and ignoring a case that wasn't properly concluded. That is inefficient and also perhaps deliberately deceitful?  I'm unsure what their call will be about, as they have all of the information in my chain of emails. They have admitted they tried to call the shuttle bus service themselves and had no response, and the hotel confirmed we were not picked up, so the next step should have been a refund. I clearly wouldn't be going to this much effort if I was simply pretending that we didn't get the shuttle in order to make a small amount of money.  This is now about the service and level of courtesy you extend to your customers. I look forward to hearing from you and if this is resolved to my satisfaction I look forward to revising this review.  But until then the rating stands. And in fact it's sadly just gone down.Jeanette"
3,"Hi there, I have deeply investigated your case and I would like to advise you that the outcome shared to you by our support team was in line with the investigation carried out. The booking confirmation was emailed to your registered email address on the same booking date. Unfortunately, we are sorry to inform you that our response can't be more favorable in this matter. Thanks,^SS.",1,2017-07-15T18:14:36.000+00:00,"
Booked a ticket from here and never again
",Booked a ticket from here.  The after the payment page the holiday did not confirm and went back to the search page saying a technical error in pink. However a few weeks later we find that it had been confirmed and we booked alternative arrangements.  Expedia will not refund the money and are not helpful.  The international call centre is in India where the workers do not understand the customers rights.  I would not recommend expedia after this.  Itinerary # 7273901848608
4,"Hi Carol. thank you for sharing your feedback. We value our customer and always strive to deliver the best service. I am sorry for what had happened, but I am glad to know that your issue has been resolved. Thanks,^SS.",5,2017-07-15T10:57:22.000+00:00,"
thanks to Expedia a near disaster became a wonderful surpise
","6 months ago we used Expedia for our 50th Wedding Anniversary holiday to Boston USA in mid September coming.it nearly turned out to be a nightmare, but as it turned out booking via Expedia was one of our best ever decisions!we are on a tight budget and chose a 7 night stay at Motel 6 both for it's price, and convenient location.it was all easy and slickly done ... then we got a very worrying email from Expedia late last night saying that the hotel had cancelled our booking for refurbishment reasons - they advised us to call them immediately.suffice to say that with 30 minutes they had solved our problem.they found a superb Hyatt Hotel quite close to the Motel 6 one and got us a King Size room for the same 7 days we needed ...the booking includes free breakfast, free parking, a complimentary shuttle bus to various Boston locations etcthis was a massive upgrade over our original booking and would have cost us over ?300 more had we booked ourselves,BUT IT DID NOT COST US A PENNY MORE - EXPEDIA FOOTED THE BILL.how I wish we had used Experia to book our plane as Virgin Atlantic have effectively ruined our holiday! please see check out my page at facebook by googling""carol ann browne author"""
5,"Hi Kerstin, we're very sorry for the delay in resolving this for you. Kindly email your complaint at bfscrd@support.expedia.co.uk so we can assist you further. Thanks, ^R",1,2017-07-14T09:55:30.000+00:00,"
Flight rerouted without notice, refusal to reimburse additional costs due to this
","I recently booked a return flight with Royal Air Maroc from Manchester to Marrakesh (via Casablanca) through Expedia. On return check in, I was told that I am flying to London Heathrow because the flight to Manchester had been cancelled. I was lucky as I hadn't parked a car at Manchester and could take a train straight to my home city (unlike the American tourists not he same flight who had a car at Manchester which they had to pick up before driving back home) However, this led to additional costs for a train ticket which I have been trying to get reimbursed - with no success. I was put on a delaying strategy being pushed back and forth between Expedia and Royal Air Maroc with some of the customer service agents being rather rude on the phone."
6,"Hi Rob, thanks for sharing your valuable feedback, we are glad to hear that. ^RR",5,2017-07-14T09:31:22.000+00:00,"
Faultless
","I have been using Expedia for years now and I'm always impressed by them. We have booked holidays to Berlin three times, Paris once, Thailand and Egypt and never had any issues. Expedia is our go-to holiday site and will continue to be so!"
7,"Hi there, we're sorry to hear about your disappointment with our services. Kindly email your complaint at bfscrd@support.expedia.co.uk so we can assist you further. Thanks, RR.",1,2017-07-14T08:35:19.000+00:00,"
If you have a problem, be prepared to get ripped off - 7243064173907
","My Son and I booked return flights - SGN - BHX outbound 14/06 return 08/07 via Emirates. Through no fault of ours we missed the outbound flight and were obliged to rebook. Contacting Expedia was a nightmare and possible oy by telephone. We were first advised that a $200 per person fee would be applied, but then passed to a second individual who advised us that the change would cost an additional fee of $757.40 PER PERSON. Given that the original ticket cost was $685 per person excluding taxes and fees - RETURN, it can only be surmised that we were taken advantage of, in our situation. The original total travel cost was $2,271.60. The revised Expedia cost was $3,786.40 !!My complaint to Expedia elicited a copy and paste reply, which totally failed to address the points made in my email."
8,"Hi Mairelys, thanks for sending your details through. Please allow me sometime to look into the matter and reach out to you. Thanks, ^JY",1,2017-07-13T16:14:05.000+00:00,"
Terrible Experience!!!
","I just booked a hotel for August 15-August 17 in Paris, France for 66 pounds. However, when I received the hotel confirmation it gave me the dates of July 13 to July 14 which is today but thats not what I requested on the calendar. The calendar had this date automatically set up and I manually changed it to August 15- August 17. Apparently, the Expedia website did not refresh to these dates which caused this error. I called Expedia right away notifying them of this error and they proceeded to call the hotel, the hotel advised them that for AUGUST 15-AUGUST 17 the hotel would be 232 pounds, which is way to expensive to me!!! I'm just a international student going to visit for 2 nights and trying to find the cheapest thing out there. If I wanted 200 pound hotel then that's what I would have booked. The first attendant advised me that he will advise his superior of the issue and they will call me back, however the call dropped while he was finishing the call. I called back again and got a different attendant. I asked him if he could see my call on record, this way I don't have to repeat the situation all over again. The attendant stated that the first attendant did not report the call and that the superior was not informed. I then repeated the whole situation again and the attendant proceeded to call the hotel. The hotel told him the same thing, which is I can only change to the August dates and it will be 232 pounds. The attendant stated that he will need to charge 232 pounds  to my card and then escalate the call to a superior who will call me in 24 hrs or so. I advised him that I cannot pay this type of money for a hotel. Aside from this, it was not my fault that their webpage did not add the correct dates like it was supposed to. He said that unfortunately if he didn't change the dates the hotel would change the dates and charge me the 232 pounds. I asked the attendant if i could speak to the supervisor on duty and he placed me on hold. I waited for 10 minutes, no supervisor. The attendant advised that the supervisor will call me back before the end of the day. I find extremely irresponsible that I'm paying the consequences for their webpage when I manually put the right dates on there. What I find even worst, is that my only option they give me is to pay 232 pounds like I'm rich or something. I am a struggling student just wanting to enjoy 2 nights in Paris and this has become a nightmare. Hopefully, the supervisor will call me back and we can find a resolution. Why can't they just reimburse me my 66 pounds so I can just look for different hotel. This is ridiculous, such terrible service!!! UPDATE: I never received a call from the supervisor like the agent had advised me. I will be calling them tomorrow. This is Absurd! The Itinerary # 7280011761666. If you can please assist, I would greatly appreciate it."
9,"Hi Nassrat, sorry if you fell this way. It sounds like your experience with our customer support was not as expected. Please share your itinerary number and a brief of the issue for us to look into, also, if you prefer post your trip you can write your complaint to our Customer Relations at bfscrd@support.expedia.co.uk. Kindly do not share your email address or contact number as this is a public. Thanks, ^L",1,2017-07-13T03:45:19.000+00:00,"
I hope read this before booking
","One of my worest life experience happened with me because of expedia.I am in a 6 weeks trip so I am not sure that I can write more details. If you really want to risk you travel with a very no care customer service, you can get the best prices here but be ready to pay A BIG price of choosing Expedia."
10,"Hi Carol, sorry about the situation you are in. I'll be happy to look into this for you, please can you share the itinerary number for me to investigate and resolve this for you. Kindly do not share your email address or contact number as this is a public. Thanks, ^L",1,2017-07-12T19:18:50.000+00:00,"
A group of 60 years old ladies are in ?
",A group of 60 years old ladies are in dispute with expedia. They have taken our money and booked us into a hotel in america when the booking form clearly shows we booked a hotel in southern ireland. We will keep you posted. We will have to sleep on a field at this rate as 95 % of the hotels in the town for that night and in spite of explaing that we needed our money back to book another hotel quickly expedia have to follow the correct procedure. Keep you posted. Hey we might be on watchdog. Carol armstrong
11,"Hi Michael, really sorry about the experience you've had. airlines schedule changes happen when the airline finds they need to make changes to flight times, equipment, routing, or other trip details, these changes are at the discretion of the airline. Do apologies for any stress that this may have caused, schedule change is something we do not have control over. We totally rely on the option provided to us by the airlines. We also understand that these sudden changes cause huge, inconvenience to our customers. We do all possible to find best alternate arrangement available from the airlines. Please call our Schedule change team on + 44 02034787317 for further assistance. Thanks, ^L",1,2017-07-09T19:46:02.000+00:00,"
Poor customer service, failed to pass messages on from Airline, use with caution.
",Just lodged a complaint with Expedia regarding an aircraft change. Booked flights and hotel through Expedia. Emirates had an aircraft change and informand Expedia who should have informed me. They did not. Just as well Ive checked my booking. My wife and I had booked and paid our seats on the upper deck of the Airbus A380. Because of the aircraft change Emirates automatically changed our seats because they have no economy on the upper deck. I feel let down by Expedia. Be careful using them. Ive had some issues and trying to get them rectified is hard. I don't fly out to September and I have lodged a complaint but they don't seem to help. They just deny its there fault. I understand they did not change the aircraft but as my travel agent it is there responsibility to pass any information over to me. This is our honeymoon that's coming up. Now we're worried there may be more problems!
12,"Hi Marius, Great! thanks for sharing your valuable feedback and keep inspiring us. Thanks, ^L",5,2017-07-08T13:41:30.000+00:00,"
Excellent!
","Recently needed to call the Expedia.co.uk call centre while abroad. The gentleman that helped me was excellent and did not want to let go of me until everything had been sorted out. Even put me on hold while he called Thomas Cook to explain the issue. Such a difference as to what I had experienced from the Thomas Cook call centre. Thank you, Expedia!"
13,"Hi Nathan, we are sorry for the inconvenience caused from the whole experience you had with the hotel booking regarding bed type. This is definitely not how we planned the trip for you. We take customer's complaint and feedback seriously and strive to provide our customers with a great experience. We will check this with the hotel. Kindly share the itinerary number so we can look into this for you. Thanks, ^V.",1,2017-07-07T13:43:32.000+00:00,"
Booked a room for 1 adult and 2 ?
",Booked a room for 1 adult and 2 teenagers 1x15 year old & 1x 13 year old was told would be a double bed & a single or 3 singles got there was 2 single beds i took photos of the room & they basically said I was telling lies I have made several complaints and will now be contacting a solicitor ....never again ?.......I have now been offered ?75 compensation for a spoilt holiday & to be called a liar ...wow
14,"Hi Lainey, we're very sorry to hear about the problems you have faced while booking with Expedia. We apologize for the payment issues that occurred with your credit card. We do understand that you had disappointing experience with our Customer Support Team. Knowing that you feel upset and stressed is the last thing we want to happen. We will share your feedback with our Customer Service Team to avoid similar instances in future. Thanks, ^MK.",1,2017-07-07T00:56:08.000+00:00,"
NEVER AGAIN !!!!!!!!!
","Never again will I use this company !!!!!Tried to book a car for Orlando on the website, went through the whole process online for it to come back and say ""a problem occurred search again""  Tried for a second time and again the same message came back.  Thinking it was a problem with my credit card I rang the bank to my horror Expedia had requested the money ""6"" times. After phone call after phone call to Expedia and everyone on the other end of the phone offering to make the bookin for me and me explaining again what had happened and that they had maxed out my credit card ...... trying to stop the payments from the bank which couldn't be done as they had approved them I eventually after 2 weeks of fighting with them and many many phone calls later got the money refunded to my account. NEVER AGAIN WILL I USE THIS WEBSITE !!!!!!!!!"
15,"Hi Siavash, I tried calling you on the number registered with us but the call reached to voicemail. I have shared the resolution via email. Thanks, ^MK.",2,2017-07-06T09:05:26.000+00:00,"
Embarrassing
","I have booked hotels several times through Expedia, most of the time the property was as expected and advertised. This time the booking was completely disappointing. I booked a standard room in Lido, Venice (hotel Villa Pannonia) and we got to the hotel the receptionist said that we are booked on a dormer room in the loft. The room was terrible and unbelievably small. At the time I was booking the room Expedia offered me a standard room but the receptionist was right and as she printed out the itinerary a dormer room was booked for us. Not enough thanks to the clean room we have been offered now my and my wife?s skin is full of bed bug bites!!! Embarrassing!HiThe itinerary number is 7270652136819"
