,0,1,2,3,4
back,0,149,11,4,23
thank,0,174,9,29,237
contact,0,106,2,0,21
respons,0,98,6,0,31
time,0,172,9,13,5
expedia,0,181,17,24,10
take,0,84,7,30,0
email,0,259,10,0,88
ani,0,104,7,11,13
told,0,105,13,0,0
complaint,0,70,2,6,42
number,0,77,1,1,36
can't,0,123,9,1,34
repli,0,47,3,0,54
use,1,123,12,15,5
#expediaukchat,0,0,1,146,0
cancel,0,158,7,0,0
holiday,0,131,16,2,0
day,0,115,8,14,0
hotel,0,296,39,1,0
hold,0,110,3,0,0
wait,0,131,5,0,6
#silkroadrac,0,0,0,164,0
get,0,264,14,22,17
still,0,217,13,2,17
i'v,0,157,5,18,17
i'm,1,145,10,19,19
confirm,0,93,8,0,13
help,0,229,10,1,35
onli,0,89,15,2,3
would,0,67,8,109,16
chang,0,137,12,0,3
pleas,0,179,10,7,117
charg,2,80,26,0,0
sort,0,102,5,0,22
...,2,151,10,32,11
ha,0,150,18,24,8
it',0,121,9,30,10
tri,0,238,16,7,5
look,0,66,2,35,10
call,0,309,14,0,39
one,0,88,2,25,1
follow,0,6,1,14,97
servic,0,336,17,0,6
trip,0,76,5,33,1
£,2,0,184,0,0
phone,0,194,10,1,11
say,0,147,11,1,4
issu,0,128,7,1,7
price,0,117,27,0,1
websit,0,112,5,7,0
custom,0,303,16,0,4
go,0,87,6,61,5
refund,0,191,21,0,10
money,0,94,8,0,1
don't,0,96,8,16,15
â,2,16,184,12,0
whi,2,117,10,12,1
hour,0,133,6,0,0
wa,0,214,21,22,13
book,1,697,64,1,15
dm,0,20,0,0,159
hi,0,175,11,1,79
need,0,129,5,6,38
2,0,127,15,1,0
flight,0,362,39,0,4
thi,1,298,16,112,40
want,0,106,6,33,10
