,frequency
expedia,244
have,219
had,176
wa,173
thi,171
do,156
call,154
would,141
been,127
servic,124
custom,121
time,119
flight,119
get,118
hotel,115
email,109
did,109
told,109
use,106
day,103
phone,103
refund,101
money,97
hour,93
could,93
tri,91
can,89
what,84
receiv,84
onli,84
up,83
ha,82
who,81
cancel,78
confirm,77
holiday,77
there,77
say,76
go,75
contact,75
number,74
itinerari,71
take,70
am,69
said,69
one,69
pay,68
same,66
got,66
compani,65
check,62
out,61
veri,60
websit,60
return,59
wait,59
ask,58
make,58
more,58
price,58
chang,57
respons,57
paid,57
week,57
ani,56
hold,56
befor,55
other,54
issu,54
card,54
last,53
want,52
should,52
need,51
account,50
charg,50
look,50
sent,48
offer,48
good,48
problem,48
travel,48
made,48
detail,46
cost,45
payment,44
find,44
help,43
give,43
complaint,43
credit,43
case,42
put,42
someon,42
minut,42
becaus,42
ticket,42
experi,42
differ,41
trip,41
way,40
two,40
went,39
howev,39
taken,39
sort,39
review,38
stay,38
month,38
avail,38
room,38
know,38
onlin,37
took,37
happen,37
due,36
repli,36
airlin,36
year,36
whi,35
deal,35
team,35
tell,34
process,34
seem,34
end,34
pleas,34
spoke,34
inform,34
night,33
left,33
bank,33
speak,33
complet,32
thank,32
full,32
airport,32
famili,32
arriv,32
manag,31
answer,31
peopl,30
total,30
actual,30
agent,30
see,30
given,29
person,29
mani,29
10,29
promis,29
resolv,29
think,29
send,29
24,28
understand,28
centr,28
first,28
next,27
final,27
point,27
few,27
state,27
explain,27
poor,27
sinc,27
despit,27
work,27
let,27
off,27
wrong,26
ca,26
today,26
option,26
claim,26
provid,25
new,25
advis,25
complain,25
staff,25
decid,25
direct,25
includ,25
spent,25
date,25
addit,25
thing,25
post,25
30,24
error,24
sure,24
may,24
escal,24
gone,24
done,24
further,24
15,24
come,23
read,23
care,23
three,23
turn,23
place,23
hope,23
show,23
origin,23
onc,23
site,22
amount,22
clearli,22
follow,22
anyon,22
eventu,22
bad,22
depart,22
re,21
rang,21
abl,21
immedi,21
absolut,21
found,21
back,21
notic,21
refus,21
transfer,21
messag,21
own,21
packag,21
lie,21
th,20
expect,20
keep,20
recommend,20
morn,20
name,20
request,20
stress,20
alreadi,20
12,19
non,19
realli,19
sever,19
extra,19
mail,19
london,19
recent,19
40,19
attempt,19
disappoint,19
els,19
refer,19
line,19
busi,19
situat,19
telephon,18
must,18
start,18
expens,18
disgust,18
20,18
matter,18
numer,18
hi,18
system,18
uk,18
50,18
thought,18
mistak,18
anyth,17
cheaper,17
car,17
reason,17
feel,17
spend,17
gave,17
someth,17
such,17
whole,17
half,16
member,16
48,16
fact,16
terribl,16
100,16
ll,16
worst,16
least,16
supervisor,15
came,15
regard,15
meant,15
updat,15
leav,15
agre,15
lot,15
appal,15
directli,15
compens,15
accept,15
fee,15
clear,15
english,15
mean,15
investig,15
extrem,15
fail,15
much,15
most,14
respond,14
small,14
pound,14
hear,14
long,14
possibl,14
initi,14
incompet,14
less,14
form,14
believ,14
repeat,14
unabl,14
doe,14
aft,14
allow,14
address,14
term,14
june,13
ignor,13
ring,13
fli,13
anoth,13
everi,13
everyth,13
screen,13
save,13
exactli,13
pass,13
part,13
kept,13
ad,13
shock,13
voucher,13
cut,13
happi,13
word,13
unhelp,13
listen,13
home,13
convers,13
great,13
min,13
surpris,13
doubl,13
avoid,12
consid,12
third,12
wast,12
better,12
miss,12
second,12
commun,12
upgrad,12
baggag,12
standard,12
insur,12
id,12
reserv,12
25,12
write,12
heard,12
hire,12
quickli,12
honour,12
frustrat,12
wo,12
top,12
assur,12
india,12
appar,12
offic,11
basic,11
yesterday,11
coupl,11
record,11
trust,11
log,11
arrang,11
wors,11
rate,11
mislead,11
right,11
oper,11
result,11
altern,11
purchas,11
weekend,11
polici,11
sell,11
ridicul,11
advertis,11
obvious,11
useless,11
com,11
explan,11
fine,11
dure,11
like,11
down,11
etc,11
futur,11
support,11
fault,11
live,11
indian,11
plu,10
chanc,10
nearli,10
choos,10
usual,10
air,10
advic,10
stori,10
therefor,10
whilst,10
pick,10
caus,10
add,10
breakfast,10
note,10
warn,10
increas,10
appear,10
parti,10
fare,10
pari,10
page,10
best,10
spoken,10
interest,10
seat,10
wife,10
guy,10
realis,10
dont,10
14,10
longer,10
delay,10
lost,10
2016,10
simpl,10
hr,10
correct,10
suppos,10
late,10
confid,10
talk,10
they,10
friend,10
fund,10
mention,10
statement,9
2015,9
guess,9
proceed,9
18,9
requir,9
fals,9
suggest,9
200,9
star,9
queri,9
hassl,9
rebook,9
guarante,9
apolog,9
quit,9
45,9
plan,9
plane,9
72,9
abov,9
exact,9
ba,9
upd,9
luggag,9
buy,9
enough,9
disgrac,9
bother,9
mind,9
blame,9
discov,9
man,9
occas,9
dealt,9
current,9
simpli,9
concern,9
later,9
separ,9
special,9
hang,9
everyon,9
connect,9
mi,8
condit,8
fulli,8
quick,8
code,8
sold,8
stuart,8
prioriti,8
itin,8
me,8
link,8
search,8
head,8
28,8
debit,8
definit,8
16,8
transact,8
13,8
desk,8
req,8
sign,8
print,8
previou,8
bill,8
class,8
board,8
period,8
appli,8
ensur,8
saw,8
big,8
lack,8
sorri,8
ok,8
autom,8
euro,8
await,8
scam,8
feedback,8
nobodi,8
locat,8
fill,8
chase,8
run,8
newman,8
ladi,8
again,8
tax,7
report,7
train,7
we,7
submit,7
stop,7
ruin,7
subsequ,7
worri,7
wish,7
them,7
treat,7
when,7
view,7
share,7
respect,7
trustpilot,7
wont,7
00,7
you,7
pocket,7
court,7
declin,7
order,7
destin,7
old,7
drop,7
nice,7
earli,7
enter,7
exist,7
fix,7
might,7
match,7
march,7
love,7
lose,7
hard,7
husband,7
idea,7
05,7
kind,7
juli,7
journey,7
imagin,7
job,7
cours,7
not,7
break,7
age,7
admit,7
action,7
august,7
base,7
acknowledg,7
choic,7
real,7
accommod,7
300,7
11,7
continu,7
quot,7
gener,6
awar,6
amend,6
goe,6
suit,6
conveni,6
higher,6
huge,6
four,6
if,6
im,6
accord,6
500,6
impress,6
inconveni,6
free,6
wed,6
technic,6
copi,6
correspond,6
twitter,6
cover,6
type,6
unfortun,6
click,6
difficult,6
discount,6
discuss,6
insult,6
dread,6
booking,6
duti,6
bit,6
easi,6
edit,6
birthday,6
entir,6
excus,6
facebook,6
felt,6
stand,6
suitabl,6
partner,6
littl,6
serious,6
question,6
service,6
probabl,6
no,6
short,6
mess,6
obviou,6
receipt,6
meet,6
similar,6
opportun,6
press,6
music,6
life,6
past,6
prepar,6
so,6
park,6
solv,6
invoic,6
januari,6
comput,5
common,5
properli,5
co,5
british,5
cant,5
certainli,5
children,5
cheap,5
circumst,5
clue,5
risk,5
upset,5
variou,5
valu,5
public,5
chose,5
valid,5
reach,5
purpos,5
becom,5
repeatedli,5
24hr,5
2nd,5
reject,5
35,5
worth,5
400,5
reimburs,5
80,5
world,5
access,5
repres,5
regul,5
rectifi,5
recov,5
reschedul,5
alway,5
resolut,5
annoy,5
argu,5
reassur,5
aw,5
constantli,5
away,5
rest,5
consider,5
intent,5
consum,5
rude,5
shame,5
five,5
mile,5
fob,5
fool,5
franc,5
fraud,5
gestur,5
singl,5
grate,5
guest,5
relat,5
sit,5
local,5
social,5
level,5
joke,5
step,5
inclus,5
incorrect,5
inde,5
indic,5
intern,5
shambl,5
moment,5
set,5
open,5
pre,5
polit,5
sale,5
correctli,5
passport,5
stage,5
over,5
schedul,5
departur,5
touch,5
secur,5
move,5
document,5
togeth,5
does,5
doubt,5
select,5
dump,5
sens,5
earn,5
mr,5
eat,5
rep,5
